2018/10/15 10:38:34.227 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:35.230 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:35.230 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:36.233 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:38:36.233 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:05.382 [D]  init conf succ, config
2018/10/15 10:41:06.387 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:06.387 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:07.387 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:07.388 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:08.389 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:41:08.389 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:32.236 [D]  init conf succ, config
2018/10/15 10:47:32.765 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_btc: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:33.241 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:33.241 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:33.276 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:33.792 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:34.243 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:34.243 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:34.305 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:34.815 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:35.247 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:35.247 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:35.330 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:35.842 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:36.248 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:36.248 [E]  json.Unmarshal depthDoc.Text() failed: json: cannot unmarshal number into Go struct field OKexDepth.asks of type string
2018/10/15 10:47:36.358 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
2018/10/15 10:47:36.871 [E]  http.Get failed for OKex err: Get https://www.okex.com/api/v1/depth.do?symbol=ltc_eth: dial tcp 31.13.73.23:443: connect: connection refused
